Internode Position,Length (cm),Temperature Level
1,6.389773841854177,CT 30/22 °C
2,8.215605065226628,CT 30/22 °C
3,10.298922835937,CT 30/22 °C
4,11.773817882260111,CT 30/22 °C
5,13.751624793800516,CT 30/22 °C
6,15.519359360483453,CT 30/22 °C
7,18.278705775196684,CT 30/22 °C
8,20.642935489341887,CT 30/22 °C
9,22.385228001361465,CT 30/22 °C
10,24.626994747820316,CT 30/22 °C
11,25.808283823102048,CT 30/22 °C
12,26.981939188129733,CT 30/22 °C
13,28.210684658099446,CT 30/22 °C
14,27.499073759109024,CT 30/22 °C
15,27.46430970827057,CT 30/22 °C
16,25.559382315281763,CT 30/22 °C
17,24.10769658410803,CT 30/22 °C
18,22.786015419411548,CT 30/22 °C
19,19.630300466985513,CT 30/22 °C
20,18.99554787647242,CT 30/22 °C
21,16.553127566289238,CT 30/22 °C
22,13.574428946920445,CT 30/22 °C
23,10.880343537655143,CT 30/22 °C
24,9.887454253527656,CT 30/22 °C
25,7.4757950244917595,CT 30/22 °C
1,1.5723064876325652,ELT 34/26 °C
2,2.7554019623606645,ELT 34/26 °C
3,3.360928818377357,ELT 34/26 °C
4,4.814364774967427,ELT 34/26 °C
5,6.029658038066249,ELT 34/26 °C
6,6.850660702287146,ELT 34/26 °C
7,7.430372498577311,ELT 34/26 °C
8,8.477178188681263,ELT 34/26 °C
9,10.931715894768969,ELT 34/26 °C
10,11.504666990625228,ELT 34/26 °C
11,11.144276857854516,ELT 34/26 °C
12,12.149500715278611,ELT 34/26 °C
13,11.802308266836762,ELT 34/26 °C
14,11.872800690275275,ELT 34/26 °C
15,11.972545880535867,ELT 34/26 °C
16,10.925894291212558,ELT 34/26 °C
17,8.71466520522634,ELT 34/26 °C
18,9.67134654422944,ELT 34/26 °C
19,9.712175133550346,ELT 34/26 °C
20,9.68910348118816,ELT 34/26 °C
21,9.554018785925612,ELT 34/26 °C
22,9.657174222621467,ELT 34/26 °C
23,9.912260757151852,ELT 34/26 °C
24,11.275801529145081,ELT 34/26 °C
25,11.502501750180201,ELT 34/26 °C
26,12.501744680523391,ELT 34/26 °C
27,13.198903440278688,ELT 34/26 °C
28,12.185146022988278,ELT 34/26 °C
1,1.6222150010137424,ELT 38/30 °C
2,2.248974702777427,ELT 38/30 °C
3,3.0819713147202594,ELT 38/30 °C
4,3.7681343011720143,ELT 38/30 °C
5,4.121829670486802,ELT 38/30 °C
6,6.707251276991962,ELT 38/30 °C
7,7.879070308430685,ELT 38/30 °C
8,8.746631509155028,ELT 38/30 °C
9,9.69988904338616,ELT 38/30 °C
10,10.691427116649391,ELT 38/30 °C
11,9.360624184089868,ELT 38/30 °C
